date,Central & Western,Eastern,Southern,Wan Chai,Kowloon City,Kwun Tong,Sham Shui Po,Wong Tai Sin,Yau Tsim Mong,Kwai Tsing,North,Sai Kung,Sha Tin,Tai Po,Tsuen Wan,Tuen Mun,Yuen Long,OutlyingIslands
2000-01-02 00:00:00,221230.6037735849,486836.90566037735,268716.7358490566,210113.71698113208,461891.1698113208,3030656.6415094337,210762.18867924527,317460.3396226415,411630.88679245283,2132013.6603773586,877030.2641509434,435136.641509434,407342.28301886795,479440.6603773585,1088331.716981132,812892.9056603773,1599464.9056603773,310842.4528301887
2000-01-09 00:00:00,221230.6037735849,486836.90566037735,268716.7358490566,210113.71698113208,461891.1698113208,3030656.6415094337,210762.18867924527,317460.3396226415,411630.88679245283,2132013.6603773586,877030.2641509434,435136.641509434,407342.28301886795,479440.6603773585,1088331.716981132,812892.9056603773,1599464.9056603773,310842.4528301887
2000-01-16 00:00:00,221230.6037735849,486836.90566037735,268716.7358490566,210113.71698113208,461891.1698113208,3030656.6415094337,210762.18867924527,317460.3396226415,411630.88679245283,2132013.6603773586,877030.2641509434,435136.641509434,407342.28301886795,479440.6603773585,1088331.716981132,812892.9056603773,1599464.9056603773,310842.4528301887
2000-01-23 00:00:00,221230.6037735849,486836.90566037735,268716.7358490566,210113.71698113208,461891.1698113208,3030656.6415094337,210762.18867924527,317460.3396226415,411630.88679245283,2132013.6603773586,877030.2641509434,435136.641509434,407342.28301886795,479440.6603773585,1088331.716981132,812892.9056603773,1599464.9056603773,310842.4528301887
2000-01-30 00:00:00,221230.6037735849,486836.90566037735,268716.7358490566,210113.71698113208,461891.1698113208,3030656.6415094337,210762.18867924527,317460.3396226415,411630.88679245283,2132013.6603773586,877030.2641509434,435136.641509434,407342.28301886795,479440.6603773585,1088331.716981132,812892.9056603773,1599464.9056603773,310842.4528301887
2000-02-06 00:00:00,221230.6037735849,486836.90566037735,268716.7358490566,210113.71698113208,461891.1698113208,3030656.6415094337,210762.18867924527,317460.3396226415,411630.88679245283,2132013.6603773586,877030.2641509434,435136.641509434,407342.28301886795,479440.6603773585,1088331.716981132,812892.9056603773,1599464.9056603773,310842.4528301887
2000-02-13 00:00:00,221230.6037735849,486836.90566037735,268716.7358490566,210113.71698113208,461891.1698113208,3030656.6415094337,210762.18867924527,317460.3396226415,411630.88679245283,2132013.6603773586,877030.2641509434,435136.641509434,407342.28301886795,479440.6603773585,1088331.716981132,812892.9056603773,1599464.9056603773,310842.4528301887
2000-02-20 00:00:00,221230.6037735849,486836.90566037735,268716.7358490566,210113.71698113208,461891.1698113208,3030656.6415094337,210762.18867924527,317460.3396226415,411630.88679245283,2132013.6603773586,877030.2641509434,435136.641509434,407342.28301886795,479440.6603773585,1088331.716981132,812892.9056603773,1599464.9056603773,310842.4528301887
2000-02-27 00:00:00,221230.6037735849,486836.90566037735,268716.7358490566,210113.71698113208,461891.1698113208,3030656.6415094337,210762.18867924527,317460.3396226415,411630.88679245283,2132013.6603773586,877030.2641509434,435136.641509434,407342.28301886795,479440.6603773585,1088331.716981132,812892.9056603773,1599464.9056603773,310842.4528301887
2000-03-05 00:00:00,221230.6037735849,486836.90566037735,268716.7358490566,210113.71698113208,461891.1698113208,3030656.6415094337,210762.18867924527,317460.3396226415,411630.88679245283,2132013.6603773586,877030.2641509434,435136.641509434,407342.28301886795,479440.6603773585,1088331.716981132,812892.9056603773,1599464.9056603773,310842.4528301887
2000-03-12 00:00:00,221230.6037735849,486836.90566037735,268716.7358490566,210113.71698113208,461891.1698113208,3030656.6415094337,210762.18867924527,317460.3396226415,411630.88679245283,2132013.6603773586,877030.2641509434,435136.641509434,407342.28301886795,479440.6603773585,1088331.716981132,812892.9056603773,1599464.9056603773,310842.4528301887
2000-03-19 00:00:00,221230.6037735849,486836.90566037735,268716.7358490566,210113.71698113208,461891.1698113208,3030656.6415094337,210762.18867924527,317460.3396226415,411630.88679245283,2132013.6603773586,877030.2641509434,435136.641509434,407342.28301886795,479440.6603773585,1088331.716981132,812892.9056603773,1599464.9056603773,310842.4528301887
2000-03-26 00:00:00,221230.6037735849,486836.90566037735,268716.7358490566,210113.71698113208,461891.1698113208,3030656.6415094337,210762.18867924527,317460.3396226415,411630.88679245283,2132013.6603773586,877030.2641509434,435136.641509434,407342.28301886795,479440.6603773585,1088331.716981132,812892.9056603773,1599464.9056603773,310842.4528301887
2000-04-02 00:00:00,221230.6037735849,486836.90566037735,268716.7358490566,210113.71698113208,461891.1698113208,3030656.6415094337,210762.18867924527,317460.3396226415,411630.88679245283,2132013.6603773586,877030.2641509434,435136.641509434,407342.28301886795,479440.6603773585,1088331.716981132,812892.9056603773,1599464.9056603773,310842.4528301887
2000-04-09 00:00:00,221230.6037735849,486836.90566037735,268716.7358490566,210113.71698113208,461891.1698113208,3030656.6415094337,210762.18867924527,317460.3396226415,411630.88679245283,2132013.6603773586,877030.2641509434,435136.641509434,407342.28301886795,479440.6603773585,1088331.716981132,812892.9056603773,1599464.9056603773,310842.4528301887
2000-04-16 00:00:00,221230.6037735849,486836.90566037735,268716.7358490566,210113.71698113208,461891.1698113208,3030656.6415094337,210762.18867924527,317460.3396226415,411630.88679245283,2132013.6603773586,877030.2641509434,435136.641509434,407342.28301886795,479440.6603773585,1088331.716981132,812892.9056603773,1599464.9056603773,310842.4528301887
