date,IETS,IWTS,WKTS,OITF,NLTS,STTS,NWNTTS,Total
2000-01-02 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-01-09 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-01-16 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-01-23 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-01-30 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-02-06 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-02-13 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-02-20 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-02-27 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-03-05 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-03-12 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-03-19 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-03-26 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-04-02 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-04-09 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-04-16 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-04-23 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-04-30 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-05-07 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-05-14 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-05-21 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-05-28 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-06-04 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-06-11 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-06-18 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-06-25 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-07-02 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-07-09 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-07-16 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-07-23 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-07-30 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-08-06 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-08-13 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-08-20 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-08-27 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-09-03 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
2000-09-10 00:00:00,18034766.301886793,6721200.471698113,49160673.056603774,88631.92452830188,422543.62264150946,9399274.169811321,0.0,83827089.60377358
